modelname,best_hr,best_ndcg,best_iter,train_time
gluon_GMF_bs_1024_lr_0001_n_emb_32.params,0.6945364238410596,0.4131100467252317,29,38.312042951583855
gluon_GMF_bs_1024_lr_0001_n_emb_64.params,0.6933774834437086,0.4117000076692327,8,37.90607500076294
keras_MLP_bs_256_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.h5,0.6620860927152318,0.382434546438397,30,97.30407953262328
keras_MLP_bs_512_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.h5,0.6574503311258278,0.3775011616701436,25,59.517666816711426
keras_MLP_bs_1024_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.h5,0.6526490066225166,0.3799987445069361,27,40.47992300987244
keras_MLP_bs_256_reg_00_lr_0001_n_emb_32_ll_16_dp_wodp.h5,0.6759933774834437,0.3965012076513385,26,100.4603304862976
keras_MLP_bs_256_reg_00_lr_0001_n_emb_64_ll_32_dp_wodp.h5,0.6841059602649007,0.40337663645855626,11,106.38706851005554
keras_MLP_bs_256_reg_00_lr_0001_n_emb_128_ll_64_dp_wodp.h5,0.6867549668874172,0.40764627535181264,11,121.14505434036256
pytorch_MLP_bs_256_reg_00_lr_001_n_emb_16_ll_8_dp_wodp.pt,0.659933774834437,0.37821522431798194,21,89.0231544971466
pytorch_MLP_bs_256_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.pt,0.5783112582781457,0.3227153336340165,29,86.4901442527771
pytorch_MLP_bs_512_reg_00_lr_001_n_emb_16_ll_8_dp_wodp.pt,0.6466887417218543,0.37300954562970806,29,52.5072124004364
pytorch_MLP_bs_512_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.pt,0.5647350993377483,0.3162503285901165,28,53.70648717880249
pytorch_MLP_bs_1024_reg_00_lr_001_n_emb_16_ll_8_dp_wodp.pt,0.6571192052980133,0.3779945537164607,30,41.795576095581055
pytorch_MLP_bs_1024_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.pt,0.5514900662251656,0.30231664945601394,30,42.18092966079712
pytorch_MLP_bs_256_reg_00_lr_001_n_emb_32_ll_16_dp_wodp.pt,0.6657284768211921,0.38621152461455105,29,87.45494747161865
pytorch_MLP_bs_256_reg_00_lr_001_n_emb_64_ll_32_dp_wodp.pt,0.6740066225165563,0.39143121581656604,24,87.82211303710938
pytorch_MLP_bs_256_reg_00_lr_001_n_emb_128_ll_64_dp_wodp.pt,0.6687086092715232,0.389357907672238,30,92.85984182357788
gluon_MLP_bs_256_reg_00_lr_001_n_emb_16_ll_8_dp_wodp.params,0.6526490066225166,0.3728209735999218,19,88.06861782073975
gluon_MLP_bs_256_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.params,0.6557947019867549,0.3777226288077357,30,89.68606638908386
gluon_MLP_bs_512_reg_00_lr_001_n_emb_16_ll_8_dp_wodp.params,0.6658940397350993,0.38163563721729127,30,57.60124611854553
gluon_MLP_bs_512_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.params,0.6495033112582781,0.37342544666193783,26,57.18501138687134
gluon_MLP_bs_1024_reg_00_lr_001_n_emb_16_ll_8_dp_wodp.params,0.6639072847682119,0.3845367207472099,26,42.385228633880615
gluon_MLP_bs_1024_reg_00_lr_0001_n_emb_16_ll_8_dp_wodp.params,0.6455298013245033,0.3652138562882648,27,42.39346933364868
gluon_MLP_bs_512_reg_00_lr_001_n_emb_32_ll_16_dp_wodp.params,0.6753311258278145,0.3933692607918039,23,57.79966902732849
gluon_MLP_bs_512_reg_00_lr_001_n_emb_64_ll_32_dp_wodp.params,0.6764900662251656,0.3921221903762557,22,56.60966444015503
gluon_MLP_bs_512_reg_00_lr_001_n_emb_128_ll_64_dp_wodp.params,0.6849337748344371,0.39032108635759677,18,57.73033261299133
keras_NeuMF_wpret_trainable_SGD.h5,0.7028145695364238,0.4191317650655588,2,41.73771619796753
keras_NeuMF_wpret_frozen_SGD.h5,0.7028145695364238,0.41906573372215045,2,32.14059615135193
pytorch_NeuMF_wpret_trainable_SGD.pt,0.708112582781457,0.42209396248584075,9,42.34033751487732
pytorch_NeuMF_wpret_frozen_SGD.pt,0.7100993377483443,0.42291458834953,6,36.67294454574585
gluon_NeuMF_wpret_trainable_SGD.params,0.7076158940397351,0.4218008180090803,1,53.62369108200073
gluon_NeuMF_wpret_frozen_SGD.params,0.7125827814569536,0.42500823873913063,3,39.861427545547485
